SPECIES,INFESTED_AREA,GROSS_AREA,CANOPY_CLOSURE,HABITAT,ABUDANCE,OWNERSHIP,AREA_ACCESSIBILITY,COMMENTS,IMAGE_NAME,REPORT_TIME,LONGITUDE,LATITUDE
"Acacia Reficiens","100 Hectares","100 Hectares","Trace ( less than 1% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,"cut down for control measures",,"2016-09-05 10:03:01",37.570919400000000000,0.694968300000000000
"Acacia Reficiens","500 Acres","500 Acres","Trace ( less than 1% )",conservancy,"Scattered Plants","Community Land",Accessible,rehab,,"2016-09-05 11:05:11",37.570948900000000000,0.694926100000000000
"Acacia Reficiens","200 Acres","200 Acres","Low ( 1.0% to 5.0% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,"stand scattered",,"2016-09-05 11:05:11",37.521210900000000000,0.697729700000000000
"Acacia Reficiens","200 Acres","200 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,stand,,"2016-09-05 11:15:06",37.518631800000000000,0.697413000000000000
"Acacia Reficiens","200 Acres","200 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,stand,,"2016-09-05 11:15:06",37.521210900000000000,0.697729700000000000
"Acacia Reficiens","200 Acres","200 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,stand,,"2016-09-05 11:15:06",37.518631800000000000,0.697413000000000000
"Acacia Reficiens","200 Acres","200 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,stand,,"2016-09-05 11:41:58",37.518577200000000000,0.697353600000000000
"Acacia Reficiens","400 Acres","400 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,stand,,"2016-09-05 11:58:34",37.516657200000000000,0.709042100000000000
"Acacia Reficiens","400 Acres","400 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,stand,,"2016-09-05 12:07:40",37.557464300000000000,0.702528600000000000
"Acacia Reficiens","400 Acres","400 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,stand,,"2016-09-05 12:10:56",37.516717300000000000,0.708929300000000000
"Acacia Reficiens","500 Acres","500 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,stand,,"2016-09-05 12:16:37",37.517390500000000000,0.697850600000000000
"Acacia Reficiens","500 Acres","500 Acres","Low ( 1.0% to 5.0% )",conservancy,"Scattered Plants","Community Land",Inaccessible,stand,,"2016-09-05 12:26:43",37.539985200000000000,0.703412900000000000
"Acacia Reficiens","500 Acres","500 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,"stand cleard",,"2016-09-05 12:30:00",37.558481500000000000,0.702011900000000000
"Acacia Reficiens","400 Acres","400 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,"stand cleared",,"2016-09-05 12:47:04",37.516717300000000000,0.708929300000000000
"Acacia Reficiens","500 Acres","500 Acres","Moderate ( 5.1% to 25% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,"stand cleared",,"2016-09-05 12:49:39",37.582079600000000000,0.702731000000000000
"Acacia Reficiens","400 Acres","400 Acres","Low ( 1.0% to 5.0% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,"stand cleared",,"2016-09-05 12:58:22",37.582079600000000000,0.702731000000000000
"Acacia Reficiens","500 Acres","500 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-05 13:04:33",37.582337000000000000,0.710422300000000000
"Acacia Reficiens","1000 Acres","1000 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-05 13:19:36",37.569508500000000000,0.694390000000000000
"Acacia Reficiens","1000 Acres","1000 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-05 13:23:01",37.593652400000000000,0.730257500000000000
"Acacia Reficiens","1000 Acres","1000 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-05 13:23:01",37.594204100000000000,0.730809600000000000
"Acacia Reficiens","2000 Acres","2000 Acres","High ( 25.1% to 100% )","group conservancy","Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-05 13:30:48",37.560670600000000000,0.701221500000000000
"Acacia Reficiens","2000 Acres","2000 Acres","High ( 25.1% to 100% )","group conservancy","Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-05 13:33:23",37.603081200000000000,0.716901600000000000
"Acacia Reficiens","2000 Acres","2000 Acres","High ( 25.1% to 100% )","group conservancy","Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-05 13:35:00",37.582079600000000000,0.702731000000000000
"Acacia Reficiens","500 Acres","500 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-06 11:50:04",37.354854800000000000,0.834636300000000000
"Acacia Reficiens","500 Acres","500 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-06 11:50:04",37.353074300000000000,0.834652300000000000
"Acacia Reficiens","500 Acres","500 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-06 11:50:04",37.351498300000000000,0.834228200000000000
"Acacia Reficiens","500 Acres","500 Acres","High ( 25.1% to 100% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-06 11:50:04",37.345174500000000000,0.833346300000000000
"Acacia Reficiens","500 Acres","500 Acres","Moderate ( 5.1% to 25% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,"pure stand",,"2016-09-06 11:50:04",37.353074300000000000,0.834652300000000000
"Acacia Reficiens","500 Acres","500 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-06 11:50:04",37.345174500000000000,0.833346300000000000
"Acacia Reficiens","500 Acres","5000 Acres","Moderate ( 5.1% to 25% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,mixed,,"2016-09-06 11:50:04",37.353074300000000000,0.834652300000000000
"Acacia Reficiens","500 Acres","500 Acres","Low ( 1.0% to 5.0% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,"pure stand",,"2016-09-06 11:50:04",37.345174500000000000,0.833346300000000000
"Acacia Reficiens","500 Acres","500 Acres","Moderate ( 5.1% to 25% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,mixed,,"2016-09-06 11:50:04",37.334251200000000000,0.826794400000000000
"Acacia Reficiens","1000 Acres","1000 Acres","High ( 25.1% to 100% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,cleared,,"2016-09-06 11:50:04",37.342092400000000000,0.802398300000000000
"Acacia Reficiens","500 Acres","500 Acres","Moderate ( 5.1% to 25% )",conservancy,"Dense Monoculture","Community Land",Accessible,"pure stand",,"2016-09-07 08:36:32",37.307243100000000000,0.579446800000000000
"Acacia Reficiens","5000 Acres","5000 Acres","Moderate ( 5.1% to 25% )",conservancy,"Scattered Dense Patches","Community Land",Accessible,"pure stand",,"2016-09-07 08:36:32",37.307066800000000000,0.578952200000000000
